[certificateholder_id],[certificateholder_name],[crop],[license_number],[start_date_license],[end_date_license],[license_standard],[license_status],[scope],[region],[country]
RA_00035972109,Rock and Roller Coffee Culture,Coffee,RALI23-022647,3/11/2024,3/10/2025,Supply Chain,Granted,Single Site,Africa,South Africa
RA_00114852209,ICA Sverige AB,Coffee,RALI23-024047,3/21/2024,3/20/2025,Supply Chain,Granted,Single Site,Europe,Sweden
RA_00029052108,J. Wolff & Company B.V.,Coffee,RALI24-027175,7/8/2024,7/7/2025,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00137872305,COCAMU MUSAZA,Coffee,RALI23-021073,10/21/2024,10/20/2025,Farming,Granted,Group Of Small Farms,Africa,Rwanda
RA_00025072108,"Cape Horn Coffees, Inc",Coffee,RALI23-025148,9/21/2024,9/20/2025,Supply Chain,Granted,Single Site,North America,United States of America (the)
RA_00107372207,McDonald's Company(Japan).Ltd,Coffee,RALI24-029462,9/27/2024,9/26/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Japan
RA_00140422306,Cooperativa de Servicios Múltiples Bosque del Alto Mayo Ltda.,Coffee,RALI23-025271,6/15/2024,6/14/2025,Farming,Granted,Group Of Small Farms,Latin America,Peru
RA_00173962501,PT. SINGA GARUDA EMERALD,Coffee,RALI25-035621,10/24/2024,1/23/2026,Supply Chain,Granted,Single Site,Asia and Pacific,Indonesia
RA_00054662110,Fazenda Samambaia,Coffee,RALI23-022741,5/16/2024,5/15/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00049442110,INCONEXUS S.A.S. - GRUPO HUILA,Coffee,RALI23-024347,5/1/2024,4/30/2025,Farming,Granted,,Latin America,Colombia
RA_00160692405,GRAZIE MILLE COFFEE ROASTERY,Coffee,RALI24-029466,4/18/2024,7/17/2025,Supply Chain,Granted,Single Site,Africa,South Africa
RA_00083552202,KOPERASI PRODUSEN SEPAKAT GERGUNG COFFEE,Coffee,RALI23-018177,4/1/2024,3/31/2025,Farming,Granted,Group Of Small Farms,Asia and Pacific,Indonesia
RA_00106722206,Hanbaobao Pte. Ltd. (Licensee of McDonald’s),Coffee,RALI23-024309,4/5/2024,4/4/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Singapore
RA_00026932108,Armazéns Gerais Bom Sucesso LTDA,Coffee,RALI23-023014,12/7/2023,3/7/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00138002305,FAZENDA UNIVERSAL,Coffee,RALI23-024632,5/22/2024,5/21/2025,Farming,Granted,,Latin America,Brazil
RA_00022442107,Giovane de Barros Reis,Coffee,RALI24-025374,6/7/2024,6/6/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00032482108,Cooperativa Trifinio / Fedecocagua,Coffee,RALI24-028033,10/3/2024,10/2/2025,Farming,Granted,Group Of Small Farms,Latin America,Guatemala
RA_00031192108,Coop. Cafeic. Campos Gerais e Campos do Meio LTDA.,Coffee,RALI23-024735,6/1/2024,5/31/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00014282105,VINH HIEP COMPANY LIMITED,Coffee,RALI24-029190,10/1/2024,9/30/2025,Farming & Supply Chain,Granted,Group Of Small Farms,Asia and Pacific,Viet Nam
RA_00063812112,"SANGORAY Co., LTD",Coffee,RALI24-027545,9/16/2024,9/15/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Taiwan (Province of China)
RA_00062552112,Bega Cheese Limited,Coffee,RALI23-024216,3/8/2024,3/7/2025,Supply Chain,Granted,Multi Site,Asia and Pacific,Australia
RA_00010552105,CÔNG TY TNHH MTV MINUDO FARM-CARE,Coffee,RALI24-032222,11/1/2024,10/31/2025,Farming,Granted,Group Of Small Farms,Asia and Pacific,Viet Nam
RA_00027782108,Ken Gabbay Coffee Ltd.,Coffee,RALI24-034120,12/8/2024,12/7/2025,Supply Chain,Granted,Multi Site,North America,Canada
RA_00164062407,YANACONA COFFEE S.A.S,Coffee,RALI24-030990,11/11/2024,2/10/2026,Supply Chain,Granted,Single Site,Latin America,Colombia
RA_00034812108,Jung Han Kim - Fazenda São Sebastião,Coffee,RALI23-024207,5/5/2024,5/4/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00106572206,UBUMWE COMPANY LIMITED,Coffee,RALI24-030934,12/11/2024,12/10/2025,Supply Chain,Granted,Single Site,Africa,United Republic of Tanzania
